SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
100085,5059254,Closed,currency 1,-1114,0,-930.0,-926.0,,0,39096.0,0.0,0.0,0.0,Consumer credit,-926,
100085,5059255,Closed,currency 1,-1388,0,-1296.0,-1114.0,,0,14116.5,0.0,0.0,0.0,Consumer credit,-1114,
100085,5059256,Active,currency 1,-911,0,915.0,,,0,1350000.0,697500.0,0.0,0.0,Consumer credit,-15,
100085,5059257,Active,currency 1,-493,0,-371.0,,0.0,0,23985.0,0.0,0.0,0.0,Consumer credit,-50,
100068,5086751,Closed,currency 1,-2380,0,,-2020.0,,0,90000.0,,,0.0,Consumer credit,-2020,
100068,5086752,Closed,currency 1,-816,0,,-538.0,,0,4500.0,,,0.0,Consumer credit,-538,
100068,5086753,Closed,currency 1,-2529,0,-1798.0,-1455.0,5912.865,0,120430.8,0.0,0.0,0.0,Consumer credit,-1455,
100068,5086754,Closed,currency 1,-1365,0,-1059.0,-1059.0,0.0,0,36823.14,0.0,0.0,0.0,Consumer credit,-1059,
100068,5086755,Active,currency 1,-400,0,1426.0,,0.0,0,900000.0,799038.0,0.0,0.0,Consumer credit,-35,
100026,5103096,Active,currency 1,-245,0,1581.0,,,0,2700000.0,2542576.5,0.0,0.0,Consumer credit,-23,
100026,5103097,Closed,currency 1,-1644,0,,-916.0,,0,1575000.0,,,0.0,Consumer credit,-914,
100026,5103098,Active,currency 1,-148,0,217.0,,0.0,0,1350000.0,935237.88,0.0,0.0,Microloan,-7,
100071,5132447,Closed,currency 1,-2258,0,-1977.0,-1977.0,,0,126000.0,0.0,0.0,0.0,Consumer credit,-594,
100071,5132448,Closed,currency 1,-1592,0,-861.0,-861.0,,0,184500.0,0.0,0.0,0.0,Consumer credit,-593,
100071,5132449,Closed,currency 1,-1106,0,-740.0,-850.0,,0,144000.0,0.0,0.0,0.0,Consumer credit,-593,
100071,5132450,Closed,currency 1,-1421,0,-1056.0,-973.0,,0,143559.0,,,0.0,Consumer credit,-970,
100039,5153442,Active,currency 1,-91,0,1379.0,,,0,0.0,0.0,0.0,0.0,Credit card,-28,
100039,5153443,Active,currency 1,-449,0,1377.0,,,0,2341746.0,1830429.0,0.0,0.0,Consumer credit,-20,
100039,5153444,Closed,currency 1,-1485,0,-1406.0,-1406.0,,0,69970.5,,,0.0,Consumer credit,-1406,
100039,5153445,Closed,currency 1,-846,0,-788.0,-788.0,,0,32008.5,0.0,,0.0,Consumer credit,-788,
100039,5153446,Closed,currency 1,-557,0,-466.0,-466.0,,0,420867.0,0.0,,0.0,Car loan,-455,
100039,5153447,Closed,currency 1,-584,0,,-399.0,,0,4500.0,,,0.0,Consumer credit,-399,
100039,5153448,Closed,currency 1,-465,0,1256.0,-123.0,,0,0.0,0.0,,0.0,Credit card,-123,
100039,5153449,Sold,currency 1,-1206,0,-980.0,,,0,945000.0,0.0,,0.0,Car loan,-109,
100039,5153450,Active,currency 1,-90,0,641.0,,,0,675000.0,608319.0,,0.0,Consumer credit,-21,
100016,5217354,Active,currency 1,-262,0,845.0,,,0,67500.0,0.0,0.0,0.0,Credit card,-46,
100016,5217355,Active,currency 1,-141,0,223.0,,,0,88996.5,63724.5,0.0,0.0,Consumer credit,-8,
100016,5217356,Closed,currency 1,-1634,0,-1331.0,-1073.0,,0,58495.5,0.0,,0.0,Consumer credit,-1073,
100016,5217357,Active,currency 1,-128,0,236.0,,,0,91264.5,,,0.0,Consumer credit,-3,
100016,5217358,Active,currency 1,-142,0,223.0,,,0,88996.5,,,0.0,Consumer credit,-3,
100016,5217359,Closed,currency 1,-1494,0,-1369.0,-1369.0,0.0,0,22086.0,0.0,0.0,0.0,Consumer credit,-1367,
100016,5217360,Closed,currency 1,-528,0,-347.0,-347.0,0.0,0,57645.0,0.0,0.0,0.0,Consumer credit,-341,
100090,5231094,Active,currency 1,-315,0,50.0,,,0,51957.0,21648.555,,0.0,Consumer credit,-15,
100049,5244757,Active,currency 1,-1052,0,-505.0,,,0,84816.0,10890.0,0.0,0.0,Consumer credit,-516,
100049,5244758,Active,currency 1,-409,0,967.0,,,0,112500.0,100395.0,0.0,0.0,Credit card,-27,
100049,5244759,Active,currency 1,-568,0,518.0,,,0,414000.0,383112.0,0.0,0.0,Credit card,-8,
100049,5244760,Closed,currency 1,-2179,0,-1469.0,-1469.0,,0,141480.0,,,0.0,Credit card,-1469,
100049,5244761,Active,currency 1,-27,0,340.0,,,0,21375.0,21865.5,,0.0,Consumer credit,-18,
100049,5244762,Closed,currency 1,-799,0,-554.0,-554.0,0.0,0,32576.85,0.0,0.0,0.0,Consumer credit,-550,
100049,5244763,Active,currency 1,-700,0,,,0.0,0,45000.0,36180.0,8819.235,0.0,Credit card,-32,
100048,5295749,Closed,currency 1,-75,0,-66.0,-66.0,0.0,0,22905.0,0.0,0.0,0.0,Microloan,-61,
100041,5325220,Closed,currency 1,-2890,0,-2678.0,-2701.0,5830.965,0,32969.79,0.0,0.0,0.0,Consumer credit,-2678,
100041,5325221,Closed,currency 1,-2793,0,-1669.0,-1495.0,0.0,0,180000.0,0.0,0.0,0.0,Credit card,-1495,
100041,5325222,Closed,currency 1,-2312,0,-2098.0,-2128.0,0.0,0,29730.69,0.0,0.0,0.0,Consumer credit,-2128,
100041,5325223,Active,currency 1,-448,0,-53.0,,0.0,0,106870.68,0.0,0.0,0.0,Consumer credit,-439,
100041,5325224,Closed,currency 1,-1001,0,-695.0,-695.0,,0,38794.5,0.0,0.0,0.0,Consumer credit,-676,
100041,5325225,Closed,currency 1,-1065,0,-699.0,-699.0,,0,116100.0,0.0,0.0,0.0,Consumer credit,-676,
100041,5325226,Closed,currency 1,-1197,0,-919.0,-919.0,,0,14760.0,0.0,,0.0,Consumer credit,-919,
100041,5325227,Closed,currency 1,-1794,0,-1703.0,-1703.0,0.0,0,14580.0,0.0,0.0,0.0,Consumer credit,-1458,
100041,5325228,Closed,currency 1,-1669,0,-1366.0,-1275.0,1862.685,0,66555.0,0.0,0.0,0.0,Consumer credit,-1275,
100041,5325229,Closed,currency 1,-612,0,-429.0,-581.0,0.0,0,15030.0,0.0,0.0,0.0,Consumer credit,-579,
100041,5325230,Closed,currency 1,-548,0,-183.0,-336.0,0.0,0,103504.5,0.0,0.0,0.0,Consumer credit,-331,
100041,5325231,Closed,currency 1,-408,0,-224.0,-224.0,0.0,0,58455.0,0.0,0.0,0.0,Consumer credit,-219,
100041,5325232,Closed,currency 1,-66,0,117.0,-36.0,0.0,0,44955.0,0.0,0.0,0.0,Consumer credit,-34,
100014,5326766,Closed,currency 1,-1781,0,45.0,-424.0,,0,900000.0,0.0,0.0,0.0,Consumer credit,-379,
100014,5326767,Closed,currency 1,-435,0,-375.0,-346.0,,0,182250.0,,,0.0,Consumer credit,-340,
100014,5326768,Closed,currency 1,-2308,0,-2004.0,-1992.0,9580.5,0,26194.5,,,0.0,Consumer credit,-1991,
100014,5326769,Closed,currency 1,-1433,0,-1250.0,-1250.0,0.0,0,44379.0,,,0.0,Consumer credit,-1246,
100014,5326770,Closed,currency 1,-1215,0,-484.0,-458.0,25.335,0,450000.0,0.0,0.0,0.0,Consumer credit,-458,
100014,5326771,Closed,currency 1,-792,0,-458.0,-458.0,0.0,0,121358.925,0.0,0.0,0.0,Consumer credit,-454,
100014,5326772,Active,currency 1,-423,0,704.0,,12752.28,0,571500.0,420201.0,0.0,0.0,Consumer credit,-25,
100014,5326773,Active,currency 1,-376,0,723.0,,0.0,0,434250.0,338013.0,0.0,0.0,Consumer credit,-34,
100047,5357372,Closed,currency 1,-2055,0,-960.0,-977.0,,0,675000.0,0.0,0.0,0.0,Consumer credit,-619,
100047,5357373,Active,currency 1,-956,0,116.0,,,0,630000.0,692253.0,0.0,0.0,Credit card,-20,
100047,5357374,Active,currency 1,-1195,0,4284.0,,,0,4045500.0,,,0.0,Mortgage,-1140,
100047,5357375,Closed,currency 1,-898,0,928.0,-420.0,0.0,0,1479834.0,0.0,0.0,0.0,Consumer credit,-420,
100047,5357376,Active,currency 1,-420,0,2137.0,,13518.675,0,2697300.0,2528203.5,0.0,0.0,Consumer credit,-24,
100060,5369259,Closed,currency 1,-809,0,-444.0,-715.0,,0,80979.84,0.0,,0.0,Consumer credit,-288,0.0
100060,5369260,Closed,currency 1,-1211,0,-1026.0,-1022.0,,0,56839.5,0.0,0.0,0.0,Consumer credit,-774,
100060,5369261,Closed,currency 1,-1702,0,-1337.0,-1337.0,,0,39991.5,0.0,,0.0,Consumer credit,-1220,0.0
100060,5369262,Closed,currency 1,-1210,0,-1026.0,-1026.0,0.0,0,56839.5,0.0,0.0,0.0,Consumer credit,-1026,
100045,5377608,Closed,currency 1,-733,0,-337.0,-608.0,0.0,0,281205.0,0.0,0.0,0.0,Consumer credit,-608,
100045,5377609,Active,currency 1,-337,0,-3.0,,0.0,0,96832.89,89351.46,0.0,0.0,Consumer credit,-217,
100045,5377610,Closed,currency 1,-592,0,-274.0,-274.0,,0,60016.5,0.0,,0.0,Consumer credit,-254,
100075,5383474,Active,currency 1,-1637,0,-1463.0,,,0,24066.0,8320.5,,0.0,Consumer credit,-425,
100075,5383475,Active,currency 1,-83,0,1013.0,,,0,112500.0,110259.0,0.0,0.0,Consumer credit,-39,
100075,5383476,Active,currency 1,-862,0,479.0,,,0,225000.0,178965.0,0.0,0.0,Credit card,-39,
100075,5383477,Active,currency 1,-906,0,920.0,,,0,630000.0,250240.5,0.0,0.0,Consumer credit,-10,
100035,5407249,Closed,currency 1,-2723,0,-2539.0,-2531.0,7349.265,0,17284.5,0.0,0.0,0.0,Consumer credit,-2508,
100035,5407250,Closed,currency 1,-2159,0,-2037.0,-2066.0,22365.0,0,61932.42,0.0,0.0,0.0,Consumer credit,-2066,
100035,5407251,Active,currency 1,-387,0,-152.0,,,0,225000.0,204709.5,0.0,0.0,Credit card,-58,
100035,5407252,Active,currency 1,-408,0,1416.0,,,0,1471500.0,1309194.0,0.0,0.0,Consumer credit,-58,
100035,5407253,Closed,currency 1,-2512,0,-2146.0,-2152.0,,0,135000.0,,,0.0,Consumer credit,-2152,
100035,5407254,Active,currency 1,-651,0,1175.0,,,0,810000.0,540468.0,,0.0,Consumer credit,-9,
100035,5407255,Active,currency 1,-184,0,546.0,,,0,491368.5,,,0.0,Consumer credit,-8,
100035,5407256,Closed,currency 1,-2591,0,-1860.0,-1346.0,22518.0,0,112500.0,,,0.0,Credit card,-1346,
100035,5407257,Active,currency 1,-979,0,9980.0,,2808.0,0,220500.0,,,0.0,Credit card,-33,
100029,5460403,Closed,currency 1,-1376,0,-1286.0,-1266.0,,0,24016.5,0.0,0.0,0.0,Consumer credit,-804,
100029,5460404,Closed,currency 1,-2806,0,1563.0,-2064.0,,0,3645000.0,,,0.0,Mortgage,-2064,
100029,5460405,Closed,currency 1,-1375,0,-1286.0,-1294.0,,0,24016.5,0.0,,0.0,Consumer credit,-1282,
100029,5460406,Active,currency 1,-110,0,,,,0,3735000.0,3682287.0,,0.0,Mortgage,-17,
100076,5471413,Active,currency 1,-121,0,,,,0,1350000.0,1321393.5,,0.0,Consumer credit,-20,61470.0
100076,5471414,Active,currency 1,-441,0,627.0,,49170.24,0,1811057.58,1159215.705,0.0,0.0,Car loan,-10,61470.0
100076,5471415,Active,currency 1,-171,0,912.0,,0.0,0,135000.0,130250.79,4749.21,0.0,Credit card,-10,61470.0
100015,5473348,Closed,currency 1,-1031,0,-666.0,-666.0,,0,94320.0,0.0,0.0,0.0,Consumer credit,-660,
100015,5473349,Closed,currency 1,-1409,0,-1045.0,-907.0,,0,131103.0,,,0.0,Consumer credit,-904,
100015,5473350,Closed,currency 1,-1032,0,-666.0,-641.0,,0,94320.0,,,0.0,Consumer credit,-638,
100015,5473351,Closed,currency 1,-319,0,-16.0,-8.0,,0,89752.5,,,0.0,Consumer credit,-3,
100082,5479491,Closed,currency 1,-799,0,-781.0,-775.0,,0,380250.0,0.0,0.0,0.0,Consumer credit,-707,
100082,5479492,Closed,currency 1,-1448,0,-811.0,-806.0,,0,90000.0,0.0,0.0,0.0,Credit card,-710,
100082,5479493,Closed,currency 1,-1017,0,-712.0,-775.0,,0,90855.0,0.0,0.0,0.0,Consumer credit,-775,
100082,5479494,Closed,currency 1,-1079,0,-276.0,-105.0,,0,360000.0,0.0,0.0,0.0,Credit card,-102,
100082,5479495,Closed,currency 1,-1175,0,-870.0,-992.0,,0,59395.5,0.0,0.0,0.0,Consumer credit,-990,
100082,5479496,Closed,currency 1,-1791,0,35.0,-1543.0,,0,900000.0,0.0,0.0,0.0,Consumer credit,-495,
100082,5479497,Active,currency 1,-1270,0,-198.0,,,0,135000.0,124573.5,0.0,0.0,Credit card,-47,
100082,5479498,Active,currency 1,-1479,0,2174.0,,,0,3600000.0,2188683.0,0.0,0.0,Mortgage,-47,
100082,5479499,Closed,currency 1,-2572,0,-1469.0,-1469.0,,0,87750.0,0.0,,0.0,Credit card,-749,
100082,5479500,Closed,currency 1,-2035,0,8930.0,-1517.0,1449.0,1,225000.0,,,0.0,Credit card,-1517,
100082,5479501,Closed,currency 1,-1423,0,403.0,-697.0,0.0,0,450000.0,,,0.0,Consumer credit,-697,
100082,5479502,Closed,currency 1,-1404,0,9556.0,-779.0,31707.0,0,501750.0,,,0.0,Credit card,-779,
100082,5479503,Closed,currency 1,-601,0,1226.0,-360.0,0.0,0,1350000.0,,,0.0,Consumer credit,-360,
100082,5479504,Closed,currency 1,-592,0,10365.0,-456.0,0.0,0,481500.0,,,0.0,Credit card,-456,
100082,5479505,Active,currency 1,-361,0,1465.0,,0.0,0,1462500.0,,,0.0,Consumer credit,-88,
100082,5479506,Active,currency 1,-157,0,10802.0,,0.0,0,148500.0,,,0.0,Credit card,-80,
100082,5479507,Active,currency 1,-65,0,239.0,,0.0,0,71495.91,71495.91,0.0,0.0,Consumer credit,-56,
100073,5490698,Active,currency 1,-524,0,1045.0,,,0,180000.0,165465.0,0.0,0.0,Credit card,-42,
100073,5490699,Closed,currency 1,-1788,0,-1468.0,-1468.0,,0,151983.0,,,0.0,Consumer credit,-1459,
100073,5490700,Active,currency 1,-1015,0,,,54907.965,0,1575000.0,1149471.0,425528.64,0.0,Credit card,-39,
100073,5490701,Active,currency 1,-181,0,,,0.0,0,270000.0,222187.5,47810.79,0.0,Credit card,-25,
100070,5524299,Active,currency 1,-1366,0,837.0,,,0,630000.0,545202.0,0.0,0.0,Credit card,-6,
100070,5524300,Closed,currency 1,-2350,0,-1255.0,-1665.0,,0,2025000.0,0.0,,0.0,Consumer credit,-1628,
100070,5524301,Closed,currency 1,-1666,0,-570.0,-1252.0,,0,2025000.0,0.0,,0.0,Consumer credit,-1243,
100070,5524302,Closed,currency 1,-1252,0,-156.0,-460.0,,0,2025000.0,0.0,,0.0,Consumer credit,-452,
100070,5524303,Active,currency 1,-299,0,797.0,,,0,1800000.0,1450858.5,,0.0,Consumer credit,-4,
100070,5524304,Active,currency 1,-2206,0,1103.0,,,0,253800.0,253575.0,,0.0,Credit card,-4,
100060,5564644,Closed,currency 1,-1703,0,-1337.0,-1328.0,,0,39991.5,0.0,0.0,0.0,Consumer credit,-805,0.0
100042,5574778,Active,currency 1,-1631,0,-1449.0,,,0,80325.0,68449.5,,0.0,Consumer credit,-584,
100042,5574779,Active,currency 1,-1399,0,-1033.0,,,0,279585.0,171531.0,,0.0,Consumer credit,-574,
100042,5574780,Closed,currency 1,-2723,0,-1627.0,-1931.0,,0,675000.0,0.0,0.0,0.0,Consumer credit,-1082,0.0
100042,5574781,Closed,currency 1,-2723,0,-1627.0,-1931.0,,0,675000.0,0.0,0.0,0.0,Consumer credit,-1569,0.0
100042,5574782,Active,currency 1,-234,0,958.0,,,0,90000.0,65961.0,0.0,0.0,Credit card,-118,
100042,5574783,Active,currency 1,-234,0,497.0,,,0,700209.0,517540.5,0.0,0.0,Consumer credit,-19,35433.0
100042,5574784,Closed,currency 1,-262,0,1669.0,-76.0,,0,1414269.0,0.0,,0.0,Consumer credit,-74,0.0
100042,5574785,Active,currency 1,-887,0,1669.0,,,0,1414269.0,1111482.0,,0.0,Consumer credit,-6,30271.5
100042,5574786,Active,currency 1,-1031,0,74.0,,,0,270000.0,0.0,,0.0,Credit card,-4,0.0
100042,5574787,Active,currency 1,-662,0,1895.0,,0.0,0,1314000.0,1139198.895,0.0,0.0,Consumer credit,-23,30105.0
100042,5574788,Closed,currency 1,-1375,0,452.0,-887.0,0.0,0,1323000.0,0.0,0.0,0.0,Consumer credit,-887,
100042,5574789,Closed,currency 1,-1390,0,-840.0,-1239.0,0.0,0,450000.0,0.0,0.0,0.0,Consumer credit,-1239,
100042,5574790,Active,currency 1,-2000,0,8957.0,,999.0,0,405000.0,,,0.0,Credit card,-10,40500.0
100042,5574791,Closed,currency 1,-2006,0,-910.0,-1386.0,5562.0,0,450000.0,,,0.0,Consumer credit,-1386,
100010,5576630,Active,currency 1,-1138,0,689.0,,,0,675000.0,348007.5,0.0,0.0,Consumer credit,-18,
100010,5576632,Closed,currency 1,-2741,0,-928.0,-1138.0,,0,315000.0,0.0,,0.0,Loan for business development,-1138,
100009,5650996,Closed,currency 1,-684,0,-313.0,-313.0,,0,61965.0,0.0,0.0,0.0,Consumer credit,-283,
100009,5650997,Closed,currency 1,-782,0,1044.0,-415.0,,0,351000.0,0.0,0.0,0.0,Consumer credit,-375,
100009,5650998,Closed,currency 1,-1428,0,-1245.0,-1244.0,,0,93465.0,0.0,0.0,0.0,Consumer credit,-782,
100009,5650999,Closed,currency 1,-1241,0,-1056.0,-1055.0,,0,37710.0,0.0,0.0,0.0,Consumer credit,-1055,
100009,5651000,Closed,currency 1,-1686,0,139.0,-819.0,,0,1777500.0,0.0,0.0,0.0,Consumer credit,-591,
100009,5651002,Closed,currency 1,-1765,0,-1581.0,-1580.0,,0,66825.0,0.0,0.0,0.0,Consumer credit,-1549,
100009,5651003,Active,currency 1,-239,0,-209.0,,,0,337500.0,326628.0,0.0,0.0,Credit card,-86,
100009,5651004,Active,currency 1,-424,0,1402.0,,,0,642861.0,557959.5,0.0,0.0,Consumer credit,-27,
100009,5651005,Closed,currency 1,-2882,0,-2152.0,-2152.0,,0,247500.0,,,0.0,Consumer credit,-2152,
100009,5651006,Closed,currency 1,-1427,0,-1245.0,-1245.0,,0,93465.0,0.0,,0.0,Consumer credit,-1127,
100009,5651007,Closed,currency 1,-1879,0,-1699.0,-986.0,,0,97978.5,,,0.0,Consumer credit,-983,
100009,5651008,Closed,currency 1,-1259,0,-1080.0,-986.0,,0,114799.5,,,0.0,Consumer credit,-983,
100009,5651009,Active,currency 1,-1293,0,,,,0,187200.0,0.0,,0.0,Credit card,-847,
100009,5651010,Active,currency 1,-411,0,,,,0,360000.0,192762.0,,0.0,Consumer credit,-23,
100009,5651011,Closed,currency 1,-2018,0,-1774.0,-1774.0,0.0,0,35770.5,0.0,0.0,0.0,Consumer credit,-1518,
100009,5651012,Closed,currency 1,-1609,0,-1517.0,-1517.0,0.0,0,100665.0,0.0,0.0,0.0,Consumer credit,-1517,
100009,5651013,Closed,currency 1,-1133,0,-951.0,-951.0,0.0,0,83952.0,,,0.0,Consumer credit,-949,
100009,5651014,Closed,currency 1,-727,0,-482.0,-482.0,0.0,0,110655.0,0.0,0.0,0.0,Consumer credit,-482,
100069,5653667,Closed,currency 1,-1975,0,-1820.0,-1820.0,,0,57469.5,0.0,0.0,0.0,Consumer credit,-1593,
100069,5653668,Closed,currency 1,-2263,0,-437.0,-448.0,,0,2475000.0,0.0,0.0,0.0,Consumer credit,-347,
100069,5653669,Active,currency 1,-467,0,1359.0,,,0,3600000.0,3059608.5,0.0,0.0,Consumer credit,-6,40486.5
100069,5653670,Active,currency 1,-112,0,253.0,,0.0,0,116856.0,92650.5,0.0,0.0,Consumer credit,-18,
100087,5665566,Active,currency 1,-80,0,-50.0,,,0,67500.0,0.0,0.0,0.0,Credit card,-53,
100087,5665567,Closed,currency 1,-644,0,-277.0,-276.0,,0,194400.0,0.0,0.0,0.0,Consumer credit,-275,
100087,5665568,Closed,currency 1,-644,0,-277.0,-276.0,,0,53010.0,0.0,0.0,0.0,Consumer credit,-275,
100087,5665569,Closed,currency 1,-731,0,,-644.0,0.0,0,0.0,0.0,0.0,0.0,Credit card,-407,
100087,5665570,Active,currency 1,-280,0,269.0,,10404.18,0,194715.0,118368.0,0.0,0.0,Consumer credit,-25,
100087,5665571,Active,currency 1,-15,0,531.0,,0.0,0,167380.515,167380.515,0.0,0.0,Consumer credit,-9,
100094,5676240,Closed,currency 1,-1049,0,-379.0,-530.0,0.0,0,4500.0,-0.405,4500.405,0.0,Credit card,-530,
100094,5676241,Active,currency 1,-472,0,1355.0,,0.0,0,90000.0,0.0,0.0,0.0,Credit card,-472,
100094,5676242,Active,currency 1,-246,0,850.0,,0.0,0,67500.0,67434.48,65.52,0.0,Credit card,-160,
100094,5676243,Active,currency 1,-342,0,754.0,,,0,693000.0,543901.5,0.0,0.0,Consumer credit,-13,
100063,5680682,Closed,currency 1,-384,0,-19.0,-353.0,,0,112896.0,0.0,,0.0,Consumer credit,-260,0.0
100063,5680683,Active,currency 1,-381,0,1280.0,,,0,0.0,0.0,0.0,0.0,Credit card,-14,0.0
100063,5680684,Active,currency 1,-381,0,746.0,,,0,900000.0,705651.345,,0.0,Consumer credit,-13,0.0
100063,5680685,Active,currency 1,-381,0,1280.0,,,0,0.0,0.0,0.0,0.0,Credit card,-14,0.0
100063,5680686,Closed,currency 1,-2781,0,-2446.0,-2474.0,,0,57906.0,0.0,,0.0,Consumer credit,-857,
100063,5680687,Closed,currency 1,-2909,0,-1934.0,-1932.0,,0,873000.0,0.0,0.0,0.0,Car loan,-1927,
100063,5680688,Closed,currency 1,-2565,0,-1835.0,-1952.0,,0,135000.0,0.0,0.0,0.0,Consumer credit,-1952,0.0
100063,5680689,Closed,currency 1,-248,0,848.0,-241.0,,0,585000.0,0.0,0.0,0.0,Credit card,-226,0.0
100063,5680690,Closed,currency 1,-354,0,-98.0,-98.0,,0,18000.0,0.0,0.0,0.0,Credit card,-96,
100063,5680691,Closed,currency 1,-1275,0,-1123.0,-1160.0,,0,13680.0,0.0,0.0,0.0,Consumer credit,-1159,13761.0
100063,5680692,Closed,currency 1,-1326,0,-230.0,-249.0,,0,108000.0,0.0,0.0,0.0,Credit card,-247,12019.5
100063,5680693,Closed,currency 1,-1348,0,-252.0,-362.0,,0,494505.0,0.0,0.0,0.0,Consumer credit,-359,0.0
100063,5680694,Closed,currency 1,-1806,0,-1075.0,-1316.0,,0,180000.0,0.0,0.0,0.0,Consumer credit,-1315,0.0
100063,5680695,Active,currency 1,-1011,0,11.0,,,0,40500.0,29988.0,0.0,0.0,Credit card,-4,0.0
100063,5680696,Active,currency 1,-266,0,915.0,,,0,180000.0,169758.0,0.0,0.0,Credit card,-171,0.0
100063,5680697,Active,currency 1,-238,0,858.0,,,0,585000.0,479065.5,0.0,0.0,Credit card,-9,0.0
100063,5680698,Closed,currency 1,-2497,0,-303.0,-915.0,,0,202500.0,,,0.0,Credit card,-914,14232.51
100063,5680699,Active,currency 1,-266,0,708.0,,2502.0,0,520344.0,267426.0,,0.0,Consumer credit,-10,
100017,5704884,Closed,currency 1,-2881,0,-2546.0,-2575.0,0.0,0,107230.5,0.0,0.0,0.0,Consumer credit,-2575,
100017,5704885,Closed,currency 1,-2562,0,-2227.0,-2256.0,0.0,0,63990.0,0.0,0.0,0.0,Consumer credit,-2256,
100017,5704886,Closed,currency 1,-2151,0,-1785.0,-1785.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-1412,
