SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
2007057,100009,Consumer loans,7500.735,40455.0,38574.0,4045.5,40455.0,SUNDAY,11,Y,1,0.10337796719171442,,,XAP,Approved,-308,Cash through the bank,XAP,"Spouse, partner",Repeater,Mobile,POS,XNA,Regional / Local,164,Consumer electronics,6.0,high,POS household with interest,365243.0,-277.0,-127.0,-127.0,-119.0,0.0
1112703,100009,Consumer loans,9845.01,98460.0,88614.0,9846.0,98460.0,SATURDAY,11,Y,1,0.1089090909090909,,,XAP,Approved,-1562,Cash through the bank,XAP,Family,Refreshed,Audio/Video,POS,XNA,Regional / Local,190,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-1531.0,-1261.0,-1261.0,-1252.0,0.0
1413109,100009,Consumer loans,8996.76,98239.5,98239.5,0.0,98239.5,SATURDAY,18,Y,1,0.0,,,XAP,Approved,-449,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Regional / Local,164,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-418.0,-88.0,-88.0,-84.0,0.0
2797899,100009,Consumer loans,10418.67,95841.0,88632.0,14377.5,95841.0,WEDNESDAY,17,Y,1,0.15200932482396814,,,XAP,Approved,-74,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Regional / Local,300,Consumer electronics,10.0,middle,POS household with interest,365243.0,-43.0,227.0,365243.0,365243.0,0.0
2421381,100009,Consumer loans,7435.845,47160.0,39721.5,9432.0,47160.0,SUNDAY,11,Y,1,0.208984211796626,,,XAP,Approved,-826,Cash through the bank,XAP,Family,Repeater,Photo / Cinema Equipment,POS,XNA,Regional / Local,164,Consumer electronics,6.0,middle,POS household with interest,365243.0,-795.0,-645.0,-645.0,-636.0,0.0
1193310,100009,Consumer loans,17341.605,110160.0,92488.5,22032.0,110160.0,MONDAY,15,Y,1,0.2095245035525596,,,XAP,Approved,-1511,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Regional / Local,190,Consumer electronics,6.0,middle,POS household with interest,365243.0,-1480.0,-1330.0,-1330.0,-1323.0,0.0
2349489,100010,Consumer loans,27463.41,247212.0,260811.0,0.0,247212.0,TUESDAY,16,Y,1,0.0,,,XAP,Approved,-1070,Cash through the bank,XAP,Family,New,Furniture,POS,XNA,Stone,8636,Furniture,10.0,low_action,POS industry without interest,365243.0,-1039.0,-769.0,-769.0,-762.0,0.0
2668005,100011,Cash loans,,0.0,0.0,,0.0,WEDNESDAY,9,Y,1,,,,XNA,Refused,-1162,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1843384,100011,Revolving loans,9000.0,0.0,180000.0,,,SATURDAY,10,Y,1,,,,XAP,Approved,-2279,XNA,XAP,,Repeater,XNA,Cards,x-sell,Contact center,0,XNA,0.0,XNA,Card X-Sell,-2277.0,-2229.0,365243.0,-1257.0,365243.0,0.0
1430602,100011,Consumer loans,14614.335,135931.5,134446.5,13594.5,135931.5,MONDAY,17,Y,1,0.10001044550926,,,XAP,Approved,-2508,Cash through the bank,XAP,Children,New,Computers,POS,XNA,Country-wide,1371,Consumer electronics,12.0,high,POS household with interest,365243.0,-2477.0,-2147.0,-2147.0,-1186.0,1.0
2794143,100011,Cash loans,31295.25,675000.0,732915.0,0.0,675000.0,THURSDAY,11,Y,1,0.0,,,XNA,Approved,-1189,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,30.0,low_action,Cash Street: low,365243.0,-1159.0,-289.0,-289.0,-283.0,1.0
2020951,100012,Cash loans,,0.0,0.0,,,TUESDAY,13,Y,1,,,,XNA,Canceled,-107,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2243829,100012,Consumer loans,3012.075,18720.0,23697.0,0.0,18720.0,THURSDAY,9,Y,1,0.0,,,XAP,Approved,-1673,XNA,XAP,Family,New,Audio/Video,POS,XNA,Country-wide,42,Connectivity,12.0,high,POS mobile with interest,365243.0,-1641.0,-1311.0,-1401.0,-1397.0,0.0
2480304,100012,Cash loans,9482.355,90000.0,114273.0,,90000.0,MONDAY,15,Y,1,,,,XNA,Approved,-507,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash X-Sell: high,365243.0,-477.0,33.0,-147.0,-144.0,1.0
2164190,100012,Cash loans,11188.035,135000.0,158508.0,,135000.0,FRIDAY,13,Y,1,,,,XNA,Approved,-832,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,high,Cash X-Sell: high,365243.0,-802.0,-112.0,-142.0,-137.0,1.0
1865796,100013,Consumer loans,6538.185,51030.0,47934.0,6750.0,51030.0,THURSDAY,12,Y,1,0.13443353881141895,,,XAP,Approved,-1999,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Stone,30,Connectivity,10.0,high,POS mobile with interest,365243.0,-1949.0,-1679.0,-1709.0,-1702.0,0.0
1594297,100013,Cash loans,23153.985,450000.0,512370.0,,450000.0,SATURDAY,12,Y,1,,,,XNA,Approved,-856,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,middle,Cash X-Sell: middle,365243.0,-826.0,224.0,-346.0,-344.0,1.0
1222069,100013,Cash loans,,0.0,0.0,,,WEDNESDAY,16,Y,1,,,,XNA,Canceled,-222,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1108870,100013,Consumer loans,4742.415,22455.0,24232.5,0.0,22455.0,MONDAY,18,Y,1,0.0,,,XAP,Approved,-273,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Regional / Local,300,Consumer electronics,6.0,middle,POS household with interest,365243.0,-242.0,-92.0,-92.0,-85.0,0.0
1461079,100014,Consumer loans,11567.475,119272.5,131868.0,0.0,119272.5,TUESDAY,13,Y,1,0.0,,,XAP,Approved,-844,Cash through the bank,XAP,Other_A,New,Computers,POS,XNA,Country-wide,1500,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-813.0,-483.0,-483.0,-475.0,0.0
2006578,100014,Consumer loans,14045.625,73800.0,73800.0,0.0,73800.0,TUESDAY,14,Y,1,0.0,,,XAP,Approved,-102,XNA,XAP,,Repeater,Mobile,POS,XNA,Regional / Local,30,Consumer electronics,6.0,middle,POS other with interest,365243.0,-64.0,86.0,365243.0,365243.0,0.0
1027737,100015,Consumer loans,7666.92,68850.0,67077.0,6885.0,68850.0,WEDNESDAY,8,Y,1,0.10138166773601184,,,XAP,Approved,-2396,Cash through the bank,XAP,Family,New,Furniture,POS,XNA,Stone,110,Furniture,10.0,middle,POS industry with interest,365243.0,-2360.0,-2090.0,-2090.0,-2084.0,1.0
1466167,100016,Consumer loans,6725.205,47115.0,42403.5,4711.5,47115.0,MONDAY,12,Y,1,0.1089090909090909,,,XAP,Approved,-2370,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,200,Consumer electronics,8.0,high,POS household with interest,,,,,,
2824473,100016,Consumer loans,7124.04,98500.5,98500.5,0.0,98500.5,SATURDAY,14,Y,1,0.0,,,XAP,Approved,-1329,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Regional / Local,120,Consumer electronics,24.0,high,POS household with interest,365243.0,-1295.0,-605.0,-605.0,-600.0,0.0
1515914,100016,Consumer loans,6042.915,47115.0,51781.5,0.0,47115.0,MONDAY,12,Y,1,0.0,,,XAP,Approved,-2370,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,200,Consumer electronics,12.0,high,POS household with interest,365243.0,-2339.0,-2009.0,-2009.0,-2007.0,1.0
1251047,100016,Consumer loans,14480.46,290250.0,232200.0,58050.0,290250.0,SATURDAY,14,Y,1,0.2178181818181818,,,XAP,Approved,-1049,Cash through the bank,XAP,"Spouse, partner",Repeater,Clothing and Accessories,POS,XNA,Stone,150,Clothing,24.0,middle,POS industry with interest,365243.0,-1017.0,-327.0,-537.0,-530.0,0.0
2769249,100017,Consumer loans,16967.295,158040.0,152721.0,15804.0,158040.0,WEDNESDAY,15,Y,1,0.1021331715013958,,,XAP,Approved,-2441,Cash through the bank,XAP,,New,Furniture,POS,XNA,Stone,408,Furniture,10.0,low_normal,POS industry without interest,365243.0,-2398.0,-2128.0,-2128.0,-2122.0,1.0
1562063,100017,Consumer loans,11783.52,195291.0,198409.5,22500.0,195291.0,FRIDAY,18,Y,1,0.11092572050792496,,,XAP,Approved,-612,Cash through the bank,XAP,"Spouse, partner",Refreshed,Audio/Video,POS,XNA,Country-wide,2500,Consumer electronics,24.0,middle,POS household with interest,365243.0,-581.0,109.0,365243.0,365243.0,0.0
1251951,100018,Consumer loans,4180.365,36805.365,36805.365,0.0,36805.365,TUESDAY,15,Y,1,0.0,,,XAP,Approved,-188,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,48,Connectivity,10.0,low_normal,POS mobile without interest,365243.0,-149.0,121.0,365243.0,365243.0,0.0
2073931,100018,Consumer loans,6832.89,48510.0,56196.0,0.0,48510.0,MONDAY,16,Y,1,0.0,,,XAP,Approved,-196,Cash through the bank,XAP,,XNA,Mobile,POS,XNA,Country-wide,30,Connectivity,12.0,high,POS mobile with interest,,,,,,
2704445,100018,Consumer loans,94906.035,536364.0,536364.0,0.0,536364.0,SATURDAY,14,Y,1,0.0,,,XAP,Approved,-989,Cash through the bank,XAP,Family,Repeater,Construction Materials,POS,XNA,Regional / Local,1200,Construction,6.0,low_normal,POS industry with interest,365243.0,-955.0,-805.0,-787.0,-784.0,0.0
1176822,100018,Consumer loans,48759.525,571774.5,514593.0,57181.5,571774.5,FRIDAY,16,Y,1,0.10891680517088777,,,XAP,Approved,-1648,Cash through the bank,XAP,"Spouse, partner",New,Construction Materials,POS,XNA,Regional / Local,1200,Construction,12.0,low_normal,POS industry with interest,365243.0,-1613.0,-1283.0,-1283.0,-1275.0,0.0
1620327,100019,Consumer loans,10518.615,84136.5,104683.5,0.0,84136.5,FRIDAY,10,Y,1,0.0,,,XAP,Approved,-925,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,1000,Consumer electronics,12.0,middle,POS household with interest,365243.0,-894.0,-564.0,-714.0,-705.0,0.0
1074770,100020,Consumer loans,5729.265,32512.5,35086.5,0.0,32512.5,SATURDAY,10,Y,1,0.0,,,XAP,Approved,-243,Cash through the bank,XAP,Unaccompanied,Repeater,Gardening,POS,XNA,Stone,550,Consumer electronics,8.0,high,POS household with interest,365243.0,-211.0,-1.0,365243.0,365243.0,0.0
1294812,100020,Consumer loans,8779.77,45900.0,48325.5,0.0,45900.0,MONDAY,11,Y,1,0.0,,,XAP,Approved,-472,XNA,XAP,,New,Consumer Electronics,POS,XNA,Stone,50,Consumer electronics,6.0,middle,POS household with interest,365243.0,-441.0,-291.0,-291.0,-284.0,0.0
1973524,100021,Consumer loans,2709.45,22428.0,13500.0,8928.0,22428.0,THURSDAY,16,Y,1,0.4335385962352253,,,XAP,Approved,-2811,Cash through the bank,XAP,,New,Mobile,POS,XNA,Country-wide,39,Connectivity,6.0,low_normal,POS mobile with interest,365243.0,-2772.0,-2622.0,-2622.0,-2584.0,0.0
1485871,100021,Consumer loans,4992.03,26100.0,27477.0,0.0,26100.0,SUNDAY,15,Y,1,0.0,,,XAP,Approved,-596,Cash through the bank,XAP,"Spouse, partner",Repeater,Audio/Video,POS,XNA,Regional / Local,200,Consumer electronics,6.0,middle,POS household with interest,365243.0,-565.0,-415.0,-505.0,-498.0,0.0
2594025,100021,Revolving loans,33750.0,0.0,675000.0,,,FRIDAY,14,Y,1,,,,XAP,Approved,-549,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,-332.0,0.0
2425547,100021,Consumer loans,10248.615,99189.0,98694.0,9922.5,99189.0,FRIDAY,19,Y,1,0.09949229210529288,,,XAP,Approved,-850,Cash through the bank,XAP,Unaccompanied,Refreshed,Computers,POS,XNA,Country-wide,6000,Consumer electronics,12.0,middle,POS household with interest,365243.0,-819.0,-489.0,-669.0,-657.0,0.0
1213820,100021,Consumer loans,7424.865,71950.5,79546.5,0.0,71950.5,SATURDAY,15,Y,1,0.0,,,XAP,Approved,-261,Cash through the bank,XAP,"Spouse, partner",Repeater,Computers,POS,XNA,Country-wide,6000,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-230.0,100.0,365243.0,365243.0,0.0
2383711,100021,Consumer loans,4992.03,26100.0,27477.0,0.0,26100.0,SUNDAY,15,Y,1,0.0,,,XAP,Approved,-596,Cash through the bank,XAP,"Spouse, partner",Repeater,Audio/Video,POS,XNA,Regional / Local,200,Consumer electronics,6.0,middle,POS household with interest,,,,,,
1319299,100022,Consumer loans,6765.975,89091.0,103203.0,0.0,89091.0,THURSDAY,18,Y,1,0.0,,,XAP,Approved,-239,Cash through the bank,XAP,Unaccompanied,New,Audio/Video,POS,XNA,Stone,-1,Consumer electronics,18.0,low_normal,POS household with interest,365243.0,-209.0,301.0,365243.0,365243.0,1.0
2411919,100023,Consumer loans,7992.0,91282.5,93145.5,9000.0,91282.5,SATURDAY,10,Y,1,0.09595937346058493,,,XAP,Approved,-1850,Cash through the bank,XAP,Other_B,Repeater,Consumer Electronics,POS,XNA,Stone,20,Consumer electronics,16.0,middle,POS household with interest,365243.0,-1819.0,-1369.0,-1429.0,-1422.0,0.0
2454202,100023,Cash loans,16822.44,180000.0,239242.5,,180000.0,FRIDAY,9,Y,1,,,,XNA,Approved,-262,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),4,XNA,24.0,high,Cash X-Sell: high,365243.0,-232.0,458.0,-142.0,-134.0,1.0
1131053,100023,Consumer loans,8519.13,78705.0,76680.0,7870.5,78705.0,SATURDAY,10,Y,1,0.10137953057640103,,,XAP,Approved,-2424,Cash through the bank,XAP,"Spouse, partner",Repeater,Consumer Electronics,POS,XNA,Country-wide,1500,Consumer electronics,10.0,low_normal,POS household without interest,365243.0,-2393.0,-2123.0,-2183.0,-2178.0,1.0
1499902,100023,Revolving loans,2250.0,45000.0,45000.0,,45000.0,WEDNESDAY,11,Y,1,,,,XAP,Approved,-327,XNA,XAP,,Refreshed,XNA,Cards,walk-in,AP+ (Cash loan),4,XNA,0.0,XNA,Card Street,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
2638827,100025,Cash loans,,0.0,0.0,,,MONDAY,13,Y,1,,,,XNA,Canceled,-63,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1338206,100025,Consumer loans,25532.415,121500.0,137367.0,0.0,121500.0,MONDAY,15,Y,1,0.0,,,XAP,Approved,-7,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,20,Consumer electronics,6.0,middle,POS mobile with interest,,,,,,
2023031,100025,Consumer loans,17682.975,95625.0,95625.0,0.0,95625.0,MONDAY,17,Y,1,0.0,,,XAP,Approved,-7,Cash through the bank,XAP,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,40,Furniture,6.0,middle,POS other with interest,365243.0,365243.0,176.0,365243.0,365243.0,0.0
1189316,100025,Cash loans,23833.575,225000.0,285682.5,0.0,225000.0,WEDNESDAY,12,Y,1,0.0,,,XNA,Approved,-1699,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash X-Sell: high,365243.0,-1669.0,-1159.0,-1159.0,-1148.0,1.0
1724082,100025,Cash loans,55678.095,900000.0,1042560.0,,900000.0,MONDAY,14,Y,1,,,,XNA,Approved,-63,Cash through the bank,XAP,"Spouse, partner",Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,,,,,,
2835799,100025,Cash loans,23833.575,225000.0,285682.5,,225000.0,THURSDAY,16,Y,1,,,,XNA,Approved,-1061,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash X-Sell: high,365243.0,-1031.0,-521.0,-888.0,-883.0,1.0
1239349,100025,Cash loans,39798.99,452782.755,479679.255,,452782.755,TUESDAY,11,Y,1,,,,XNA,Approved,-888,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high,365243.0,-858.0,-348.0,-678.0,-664.0,1.0
