SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
2495675,100005,1.0,4,-616.0,-646.0,4813.2,4813.2
2495675,100005,1.0,5,-586.0,-585.0,4813.2,4813.2
2495675,100005,1.0,6,-556.0,-585.0,4813.2,4813.2
2495675,100005,2.0,9,-466.0,-470.0,17656.245,17656.245
2495675,100005,1.0,1,-706.0,-736.0,4813.2,4813.2
2495675,100005,1.0,7,-526.0,-555.0,4813.2,4813.2
2495675,100005,1.0,2,-676.0,-711.0,4813.2,4813.2
2495675,100005,1.0,3,-646.0,-683.0,4813.2,4813.2
2495675,100005,1.0,8,-496.0,-515.0,4813.2,4813.2
2190416,100006,1.0,1,-281.0,-285.0,29027.52,29027.52
2190416,100006,1.0,10,-11.0,-12.0,29027.52,29027.52
2190416,100006,1.0,3,-221.0,-226.0,29027.52,29027.52
2299329,100006,1.0,2,-515.0,-562.0,2482.92,2482.92
2190416,100006,1.0,2,-251.0,-256.0,29027.52,29027.52
2190416,100006,1.0,4,-191.0,-196.0,29027.52,29027.52
2299329,100006,1.0,3,-485.0,-562.0,2482.92,2482.92
2190416,100006,1.0,5,-161.0,-174.0,29027.52,29027.52
2299329,100006,1.0,4,-455.0,-530.0,2482.92,2482.92
2190416,100006,1.0,8,-71.0,-72.0,29027.52,29027.52
2190416,100006,1.0,7,-101.0,-104.0,29027.52,29027.52
2299329,100006,2.0,5,-425.0,-438.0,15159.645,15159.645
2299329,100006,1.0,1,-545.0,-575.0,2482.92,2482.92
2078043,100006,2.0,1,-151.0,-174.0,691786.89,691786.89
2190416,100006,1.0,6,-131.0,-138.0,29027.52,29027.52
2190416,100006,1.0,9,-41.0,-42.0,29027.52,29027.52
2462742,100007,1.0,3,-1676.0,-1681.0,3601.53,3601.53
2462742,100007,1.0,8,-1526.0,-1526.0,3601.53,3601.53
2001242,100007,2.0,14,-444.0,-451.0,16509.6,16509.6
1692033,100007,1.0,5,-224.0,-226.0,16037.64,16037.64
2462742,100007,1.0,6,-1586.0,-1585.0,3601.53,3601.53
2001242,100007,1.0,2,-804.0,-806.0,16509.6,16509.6
1940724,100007,1.0,8,-866.0,-867.0,22678.785,22678.785
1940724,100007,1.0,12,-746.0,-752.0,22485.69,22485.69
1692033,100007,1.0,4,-254.0,-258.0,16037.64,16037.64
2119973,100007,1.0,9,-2086.0,-2080.0,1834.29,1834.29
2001242,100007,2.0,12,-504.0,-514.0,16509.6,16509.6
1940724,100007,1.0,11,-776.0,-777.0,22678.785,22678.785
2001242,100007,1.0,3,-774.0,-777.0,16509.6,16509.6
1940724,100007,1.0,4,-986.0,-987.0,22678.785,22678.785
1940724,100007,1.0,1,-1076.0,-1074.0,22678.785,22655.655
1940724,100007,1.0,1,-1076.0,-1106.0,22678.785,23.13
1692033,100007,1.0,9,-104.0,-106.0,16037.64,16037.64
2462742,100007,1.0,12,-1406.0,-1403.0,3577.05,3576.87
2119973,100007,1.0,10,-2056.0,-2044.0,1821.78,1821.78
2001242,100007,2.0,13,-474.0,-483.0,16509.6,16509.6
2462742,100007,1.0,12,-1406.0,-1436.0,3577.05,0.18
2119973,100007,1.0,2,-2296.0,-2289.0,1834.29,1834.29
2001242,100007,2.0,9,-594.0,-602.0,16509.6,16509.6
2462742,100007,1.0,10,-1466.0,-1459.0,3601.53,3598.29
2001242,100007,1.0,6,-684.0,-692.0,16509.6,16509.6
2001242,100007,1.0,1,-834.0,-838.0,16509.6,16509.6
2462742,100007,1.0,10,-1466.0,-1497.0,3601.53,3.24
2462742,100007,1.0,9,-1496.0,-1497.0,3601.53,3601.53
2001242,100007,2.0,16,-384.0,-390.0,16509.6,16509.6
1692033,100007,1.0,6,-194.0,-198.0,16037.64,16037.64
2462742,100007,1.0,4,-1646.0,-1654.0,3601.53,3601.53
1940724,100007,1.0,10,-806.0,-806.0,22678.785,22678.785
1692033,100007,1.0,8,-134.0,-136.0,16037.64,16037.64
2001242,100007,2.0,7,-654.0,-664.0,16509.6,16509.6
2462742,100007,1.0,7,-1556.0,-1555.0,3601.53,3601.53
2462742,100007,1.0,5,-1616.0,-1619.0,3601.53,3601.53
2119973,100007,1.0,4,-2236.0,-2234.0,1834.29,1834.29
2001242,100007,2.0,10,-564.0,-574.0,16509.6,16509.6
1940724,100007,1.0,7,-896.0,-896.0,22678.785,22678.785
2001242,100007,1.0,4,-744.0,-752.0,16509.6,16509.6
1940724,100007,1.0,5,-956.0,-955.0,22678.785,22678.785
2001242,100007,2.0,8,-624.0,-640.0,16509.6,16509.6
2119973,100007,1.0,8,-2116.0,-2115.0,1834.29,1834.29
1692033,100007,1.0,3,-284.0,-287.0,16037.64,16037.64
2119973,100007,1.0,5,-2206.0,-2205.0,1834.29,1834.29
2462742,100007,1.0,1,-1736.0,-1742.0,3601.53,3601.53
2001242,100007,2.0,17,-354.0,-374.0,16046.1,16046.1
1940724,100007,1.0,3,-1016.0,-1016.0,22678.785,22678.785
2119973,100007,1.0,7,-2146.0,-2142.0,1834.29,1834.29
1692033,100007,1.0,12,-14.0,-14.0,16037.64,16037.64
1692033,100007,1.0,11,-44.0,-44.0,16037.64,16037.64
1940724,100007,1.0,6,-926.0,-926.0,22678.785,22678.785
2001242,100007,2.0,15,-414.0,-423.0,16509.6,16509.6
1692033,100007,1.0,1,-344.0,-348.0,16037.64,16037.64
2119973,100007,1.0,3,-2266.0,-2263.0,1834.29,1834.29
2462742,100007,1.0,2,-1706.0,-1709.0,3601.53,3601.53
1692033,100007,1.0,10,-74.0,-75.0,16037.64,16037.64
2119973,100007,1.0,1,-2326.0,-2318.0,1834.29,1834.29
1940724,100007,1.0,9,-836.0,-838.0,22678.785,22678.785
2001242,100007,2.0,11,-534.0,-542.0,16509.6,16509.6
2001242,100007,1.0,5,-714.0,-724.0,16509.6,16509.6
1940724,100007,1.0,2,-1046.0,-1046.0,22678.785,22678.785
1692033,100007,1.0,7,-164.0,-166.0,16037.64,16037.64
1692033,100007,1.0,2,-314.0,-317.0,16037.64,16037.64
2462742,100007,1.0,11,-1436.0,-1436.0,3601.53,3601.53
2119973,100007,1.0,6,-2176.0,-2172.0,1834.29,1834.29
2218188,100008,1.0,4,-249.0,-262.0,17885.835,17885.835
1907290,100008,1.0,5,-2179.0,-2183.0,12144.285,12144.285
2613879,100008,1.0,5,-489.0,-499.0,25309.575,25309.575
1186888,100008,1.0,3,-2431.0,-2452.0,8019.09,8019.09
2218188,100008,1.0,2,-309.0,-330.0,17885.835,17885.835
2218188,100008,1.0,9,-99.0,-106.0,17885.835,17885.835
1186888,100008,1.0,5,-2371.0,-2395.0,8019.09,8019.09
1907290,100008,1.0,9,-2059.0,-2064.0,12144.285,12144.285
2218188,100008,1.0,7,-159.0,-165.0,17885.835,17885.835
1186888,100008,1.0,2,-2461.0,-2486.0,8019.09,8019.09
2613879,100008,1.0,7,-429.0,-440.0,25309.575,25309.575
1907290,100008,1.0,4,-2209.0,-2218.0,12144.285,12144.285
2218188,100008,1.0,5,-219.0,-230.0,17885.835,17885.835
1907290,100008,1.0,7,-2119.0,-2123.0,12144.285,12144.285
1907290,100008,1.0,10,-2029.0,-712.0,11986.155,227.16
2218188,100008,1.0,10,-69.0,-82.0,17876.115,17876.115
1907290,100008,1.0,8,-2089.0,-2091.0,12144.285,12144.285
1907290,100008,1.0,1,-2299.0,-2309.0,12144.285,12144.285
1907290,100008,1.0,10,-2029.0,-2056.0,11986.155,11758.995
2613879,100008,1.0,6,-459.0,-463.0,25309.575,25309.575
2218188,100008,1.0,1,-339.0,-358.0,17885.835,17885.835
2613879,100008,1.0,3,-549.0,-555.0,25309.575,25309.575
1186888,100008,1.0,4,-2401.0,-2428.0,8019.09,8019.09
1907290,100008,1.0,6,-2149.0,-2151.0,12144.285,12144.285
1907290,100008,1.0,3,-2239.0,-2241.0,12144.285,12144.285
2613879,100008,1.0,4,-519.0,-531.0,25309.575,25309.575
2613879,100008,1.0,1,-609.0,-618.0,25309.575,25309.575
2218188,100008,1.0,8,-129.0,-135.0,17885.835,17885.835
2218188,100008,1.0,3,-279.0,-292.0,17885.835,17885.835
1186888,100008,1.0,6,-2341.0,-2365.0,8003.475,8003.475
2613879,100008,1.0,2,-579.0,-590.0,25309.575,25309.575
1907290,100008,1.0,2,-2269.0,-2274.0,12144.285,12144.285
2218188,100008,1.0,6,-189.0,-190.0,17885.835,17885.835
2613879,100008,2.0,8,-399.0,-410.0,432218.295,432218.295
1186888,100008,1.0,1,-2491.0,-2519.0,8019.09,8019.09
1413109,100009,1.0,10,-148.0,-157.0,8996.76,8996.76
2227125,100009,1.0,6,-124.0,-134.0,8819.955,8819.955
1193310,100009,1.0,2,-1450.0,-1458.0,17341.605,17341.605
1413109,100009,1.0,5,-298.0,-304.0,8996.76,8996.76
2227125,100009,1.0,1,-274.0,-285.0,8821.26,8821.26
2421381,100009,1.0,4,-705.0,-713.0,7435.845,7435.845
1413109,100009,1.0,2,-388.0,-394.0,8996.76,8996.76
2007057,100009,1.0,3,-217.0,-227.0,7500.735,7500.735
1112703,100009,1.0,5,-1411.0,-1416.0,9845.01,9845.01
1112703,100009,1.0,6,-1381.0,-1384.0,9845.01,9845.01
1112703,100009,1.0,2,-1501.0,-1508.0,9845.01,9845.01
1193310,100009,1.0,3,-1420.0,-1425.0,17341.605,17341.605
1413109,100009,1.0,1,-418.0,-424.0,8996.76,8996.76
1193310,100009,1.0,1,-1480.0,-1486.0,17341.605,17341.605
2421381,100009,1.0,1,-795.0,-804.0,7435.845,7435.845
1413109,100009,1.0,11,-118.0,-121.0,8996.76,8996.76
1193310,100009,1.0,5,-1360.0,-1368.0,17341.605,17341.605
1112703,100009,1.0,9,-1291.0,-1308.0,9845.01,9845.01
2227125,100009,1.0,4,-184.0,-194.0,8821.26,8821.26
1112703,100009,1.0,3,-1471.0,-1475.0,9845.01,9845.01
1112703,100009,1.0,10,-1261.0,-1264.0,9827.775,9827.775
1413109,100009,1.0,3,-358.0,-367.0,8996.76,8996.76
2227125,100009,1.0,2,-244.0,-256.0,8821.26,8821.26
1193310,100009,1.0,6,-1330.0,-1336.0,17323.2,17323.2
1112703,100009,1.0,7,-1351.0,-1354.0,9845.01,9845.01
2421381,100009,1.0,5,-675.0,-684.0,7435.845,7435.845
2007057,100009,1.0,5,-157.0,-165.0,7500.735,7500.735
2421381,100009,1.0,3,-735.0,-745.0,7435.845,7435.845
2797899,100009,1.0,1,-43.0,-58.0,10418.67,10418.67
2007057,100009,1.0,1,-277.0,-285.0,7500.735,7500.735
1112703,100009,1.0,1,-1531.0,-1542.0,9845.01,9845.01
1413109,100009,1.0,9,-178.0,-194.0,8996.76,8996.76
1193310,100009,1.0,4,-1390.0,-1399.0,17341.605,17341.605
1112703,100009,1.0,4,-1441.0,-1445.0,9845.01,9845.01
2421381,100009,1.0,6,-645.0,-666.0,7421.4,7421.4
1413109,100009,1.0,8,-208.0,-223.0,8996.76,8996.76
1413109,100009,1.0,7,-238.0,-254.0,8996.76,8996.76
1413109,100009,1.0,12,-88.0,-90.0,8991.54,8991.54
1413109,100009,1.0,4,-328.0,-337.0,8996.76,8996.76
2227125,100009,1.0,5,-154.0,-164.0,8821.26,8821.26
2007057,100009,1.0,2,-247.0,-256.0,7500.735,7500.735
2421381,100009,1.0,2,-765.0,-780.0,7435.845,7435.845
2227125,100009,1.0,3,-214.0,-227.0,8821.26,8821.26
2007057,100009,1.0,4,-187.0,-194.0,7500.735,7500.735
1413109,100009,1.0,6,-268.0,-276.0,8996.76,8996.76
1112703,100009,1.0,8,-1321.0,-1322.0,9845.01,9845.01
2007057,100009,1.0,6,-127.0,-134.0,7499.565,7499.565
2349489,100010,1.0,9,-799.0,-805.0,27463.41,27463.41
2349489,100010,1.0,3,-979.0,-992.0,27463.41,27463.41
2349489,100010,1.0,2,-1009.0,-1021.0,27463.41,27463.41
2349489,100010,1.0,7,-859.0,-868.0,27463.41,27463.41
2349489,100010,1.0,1,-1039.0,-1069.0,27463.41,27463.41
2349489,100010,1.0,10,-769.0,-774.0,27321.39,27321.39
2349489,100010,1.0,4,-949.0,-963.0,27463.41,27463.41
2349489,100010,1.0,8,-829.0,-840.0,27463.41,27463.41
2349489,100010,1.0,5,-919.0,-928.0,27463.41,27463.41
2349489,100010,1.0,6,-889.0,-899.0,27463.41,27463.41
1843384,100011,0.0,16,-1773.0,-1779.0,9000.0,9000.0
2794143,100011,1.0,15,-739.0,-740.0,31295.25,31295.25
2794143,100011,1.0,24,-469.0,-467.0,31295.25,30833.685
1843384,100011,0.0,50,-829.0,-829.0,563.355,563.355
1843384,100011,0.0,48,-890.0,-890.0,563.355,563.355
1843384,100011,0.0,11,-1926.0,-1934.0,9000.0,9000.0
2794143,100011,1.0,11,-859.0,-863.0,31295.25,31295.25
1430602,100011,1.0,12,-2147.0,-2140.0,14588.55,5164.65
1843384,100011,0.0,23,-1561.0,-1563.0,9000.0,9000.0
2794143,100011,1.0,25,-439.0,-467.0,31295.25,666.315
1430602,100011,1.0,7,-2297.0,-2295.0,14614.335,14614.335
1843384,100011,0.0,44,-1011.0,-1011.0,563.355,563.355
2794143,100011,1.0,30,-289.0,-296.0,30897.585,30897.585
2794143,100011,1.0,10,-889.0,-889.0,31295.25,31295.25
1843384,100011,0.0,70,-221.0,-221.0,563.355,563.355
2794143,100011,1.0,29,-319.0,-315.0,31295.25,29809.935
2794143,100011,1.0,22,-529.0,-527.0,31295.25,27193.185
1843384,100011,0.0,19,-1683.0,-1687.0,9000.0,9000.0
1843384,100011,0.0,53,-737.0,-737.0,563.355,563.355
1843384,100011,0.0,21,-1622.0,-1626.0,9000.0,9000.0
1430602,100011,1.0,4,-2387.0,-2386.0,14614.335,14614.335
2794143,100011,1.0,19,-619.0,-621.0,31295.25,31295.25
1843384,100011,0.0,54,-706.0,-706.0,563.355,563.355
2794143,100011,1.0,17,-679.0,-684.0,31295.25,31295.25
1843384,100011,0.0,34,-1257.0,-1286.0,804.195,804.195
2794143,100011,1.0,21,-559.0,-560.0,31295.25,31295.25
1843384,100011,0.0,45,-980.0,-980.0,563.355,563.355
1843384,100011,0.0,57,-614.0,-614.0,563.355,563.355
2794143,100011,1.0,29,-319.0,-348.0,31295.25,1485.315
1843384,100011,0.0,37,-1225.0,-1225.0,563.355,563.355
1843384,100011,0.0,61,-494.0,-494.0,563.355,563.355
1843384,100011,0.0,38,-1195.0,-1195.0,563.355,563.355
1843384,100011,0.0,15,-1803.0,-1811.0,9000.0,9000.0
2794143,100011,1.0,14,-769.0,-772.0,31295.25,31295.25
2794143,100011,1.0,20,-589.0,-587.0,31295.25,27602.685
2794143,100011,1.0,27,-379.0,-373.0,31295.25,30219.435
1843384,100011,0.0,8,-2017.0,-2029.0,9000.0,9000.0
2794143,100011,1.0,16,-709.0,-713.0,31295.25,31295.25
1843384,100011,0.0,69,-249.0,-249.0,563.355,563.355
1430602,100011,1.0,9,-2237.0,-2253.0,14614.335,9000.0
1843384,100011,0.0,46,-951.0,-951.0,563.355,563.355
1430602,100011,1.0,12,-2147.0,-2172.0,14588.55,8974.215
1430602,100011,1.0,12,-2147.0,-1189.0,14588.55,449.685
2794143,100011,1.0,7,-979.0,-985.0,31295.25,31295.25
1843384,100011,0.0,26,-1469.0,-1471.0,9000.0,9000.0
1843384,100011,0.0,72,-160.0,-160.0,563.355,563.355
1843384,100011,0.0,14,-1834.0,-1842.0,9000.0,9000.0
1843384,100011,0.0,49,-859.0,-859.0,563.355,563.355
2794143,100011,1.0,23,-499.0,-498.0,31295.25,31295.25
1430602,100011,1.0,5,-2357.0,-2357.0,14614.335,14614.335
2794143,100011,1.0,20,-589.0,-621.0,31295.25,3692.565
1843384,100011,0.0,24,-1530.0,-1534.0,9000.0,9000.0
1430602,100011,1.0,6,-2327.0,-2326.0,14614.335,14614.335
1843384,100011,0.0,7,-2048.0,-2058.0,9000.0,9000.0
1843384,100011,0.0,4,-2138.0,-2150.0,9000.0,9000.0
1430602,100011,1.0,3,-2417.0,-2413.0,14614.335,14614.335
1843384,100011,0.0,10,-1956.0,-1962.0,9000.0,9000.0
1843384,100011,0.0,76,-37.0,-37.0,563.355,563.355
1843384,100011,0.0,59,-555.0,-555.0,563.355,563.355
2794143,100011,1.0,5,-1039.0,-1049.0,31295.25,31295.25
1843384,100011,0.0,3,-2168.0,-2182.0,9000.0,9000.0
1843384,100011,0.0,71,-190.0,-190.0,563.355,563.355
1843384,100011,0.0,66,-341.0,-341.0,563.355,563.355
1843384,100011,0.0,35,-1286.0,-1286.0,563.355,563.355
1843384,100011,0.0,18,-1711.0,-1715.0,9000.0,9000.0
1843384,100011,0.0,33,-1290.0,-1290.0,46485.0,46485.0
1430602,100011,1.0,10,-2207.0,-2193.0,14614.335,5614.335
1843384,100011,0.0,60,-525.0,-525.0,563.355,563.355
2794143,100011,1.0,9,-919.0,-919.0,31295.25,31295.25
2794143,100011,1.0,28,-349.0,-373.0,31295.25,1280.565
1843384,100011,0.0,67,-311.0,-311.0,563.355,563.355
1843384,100011,0.0,52,-767.0,-767.0,563.355,563.355
1843384,100011,0.0,36,-1256.0,-1256.0,563.355,563.355
1843384,100011,0.0,73,-129.0,-129.0,563.355,563.355
1430602,100011,1.0,8,-2267.0,-2259.0,14614.335,14614.335
1843384,100011,0.0,74,-99.0,-99.0,563.355,563.355
2794143,100011,1.0,28,-349.0,-348.0,31295.25,30014.685
1430602,100011,1.0,2,-2447.0,-2449.0,14614.335,14614.335
1843384,100011,0.0,29,-1377.0,-1379.0,9000.0,9000.0
2794143,100011,1.0,22,-529.0,-560.0,31295.25,4102.065
1843384,100011,0.0,12,-1895.0,-1905.0,9000.0,9000.0
1843384,100011,0.0,62,-464.0,-464.0,563.355,563.355
2794143,100011,1.0,1,-1159.0,-1169.0,31295.25,31295.25
1843384,100011,0.0,13,-1864.0,-1875.0,9000.0,9000.0
2794143,100011,1.0,24,-469.0,-498.0,31295.25,461.565
2794143,100011,1.0,25,-439.0,-437.0,31295.25,30628.935
2794143,100011,1.0,13,-799.0,-803.0,31295.25,31295.25
2794143,100011,1.0,3,-1099.0,-1107.0,31295.25,31295.25
1843384,100011,0.0,22,-1591.0,-1597.0,9000.0,9000.0
1843384,100011,0.0,25,-1499.0,-1503.0,9000.0,9000.0
1843384,100011,0.0,42,-1072.0,-1072.0,563.355,563.355
2794143,100011,1.0,27,-379.0,-408.0,31295.25,1075.815
1843384,100011,0.0,43,-1042.0,-1042.0,563.355,563.355
1843384,100011,0.0,75,-68.0,-68.0,563.355,563.355
2794143,100011,1.0,18,-649.0,-650.0,31295.25,31295.25
1843384,100011,0.0,1,-2229.0,-2234.0,9000.0,9000.0
1843384,100011,0.0,5,-2107.0,-2120.0,9000.0,9000.0
1843384,100011,0.0,51,-798.0,-798.0,563.355,563.355
1843384,100011,0.0,40,-1133.0,-1133.0,563.355,563.355
1843384,100011,0.0,20,-1652.0,-1661.0,9000.0,9000.0
2794143,100011,1.0,12,-829.0,-832.0,31295.25,31295.25
2794143,100011,1.0,8,-949.0,-952.0,31295.25,31295.25
1843384,100011,0.0,30,-1346.0,-1351.0,9000.0,9000.0
1843384,100011,0.0,55,-676.0,-676.0,563.355,563.355
1843384,100011,0.0,65,-372.0,-372.0,563.355,563.355
1843384,100011,0.0,17,-1742.0,-1745.0,9000.0,9000.0
2794143,100011,1.0,4,-1069.0,-1079.0,31295.25,31295.25
1843384,100011,0.0,68,-280.0,-280.0,563.355,563.355
1843384,100011,0.0,47,-920.0,-920.0,563.355,563.355
1843384,100011,0.0,27,-1438.0,-1443.0,9000.0,9000.0
1843384,100011,0.0,41,-1103.0,-1103.0,563.355,563.355
2794143,100011,1.0,6,-1009.0,-1017.0,31295.25,31295.25
2794143,100011,1.0,2,-1129.0,-1136.0,31295.25,31295.25
1430602,100011,1.0,10,-2207.0,-2225.0,14614.335,9000.0
1430602,100011,1.0,1,-2477.0,-2477.0,14614.335,14614.335
1843384,100011,0.0,56,-645.0,-645.0,563.355,563.355
1843384,100011,0.0,32,-1287.0,-1290.0,9000.0,9000.0
1843384,100011,0.0,31,-1318.0,-1321.0,9000.0,9000.0
1843384,100011,0.0,64,-402.0,-402.0,563.355,563.355
1430602,100011,1.0,11,-2177.0,-2172.0,14614.335,5614.335
1430602,100011,1.0,9,-2237.0,-2225.0,14614.335,5614.335
1843384,100011,0.0,6,-2076.0,-2088.0,9000.0,9000.0
1843384,100011,0.0,9,-1987.0,-1996.0,9000.0,9000.0
1843384,100011,0.0,58,-586.0,-586.0,563.355,563.355
1843384,100011,0.0,63,-433.0,-433.0,563.355,563.355
2794143,100011,1.0,26,-409.0,-408.0,31295.25,31295.25
1843384,100011,0.0,28,-1408.0,-1412.0,9000.0,9000.0
1430602,100011,1.0,11,-2177.0,-2193.0,14614.335,9000.0
1843384,100011,0.0,2,-2199.0,-2211.0,9000.0,9000.0
1843384,100011,0.0,39,-1164.0,-1164.0,563.355,563.355
2480304,100012,3.0,3,-417.0,-455.0,5242.86,5242.86
2480304,100012,2.0,1,-477.0,-487.0,49204.89,58687.245
2164190,100012,2.0,8,-592.0,-645.0,11057.535,11057.535
2164190,100012,2.0,7,-622.0,-712.0,11057.535,11057.535
2164190,100012,2.0,16,-352.0,-367.0,11057.535,11057.535
2164190,100012,2.0,11,-502.0,-507.0,11057.535,11057.535
2243829,100012,1.0,4,-1551.0,-1550.0,3012.075,3012.075
2164190,100012,2.0,9,-562.0,-601.0,11057.535,11057.535
2164190,100012,1.0,1,-802.0,-832.0,11188.035,11188.035
2164190,100012,2.0,5,-682.0,-745.0,11057.535,11057.535
2243829,100012,1.0,6,-1491.0,-1477.0,3012.075,981.225
2164190,100012,2.0,17,-322.0,-327.0,11057.535,11057.535
2480304,100012,1.0,1,-477.0,-487.0,9482.355,58687.245
2164190,100012,2.0,21,-202.0,-247.0,11057.535,11057.535
2164190,100012,2.0,6,-652.0,-712.0,11057.535,11057.535
2164190,100012,1.0,2,-772.0,-825.0,11188.035,11188.035
2164190,100012,3.0,23,-142.0,-151.0,21391.785,21391.785
2480304,100012,3.0,5,-357.0,-399.0,5242.86,5242.86
2243829,100012,1.0,2,-1611.0,-1613.0,3012.075,3012.075
2164190,100012,2.0,18,-292.0,-307.0,11057.535,11057.535
2243829,100012,1.0,1,-1641.0,-1645.0,3012.075,3012.075
2480304,100012,3.0,8,-267.0,-307.0,5242.86,5242.86
2480304,100012,3.0,2,-447.0,-456.0,5242.86,5242.86
2243829,100012,1.0,5,-1521.0,-1522.0,3012.075,3012.075
2164190,100012,2.0,14,-412.0,-428.0,11057.535,11057.535
2480304,100012,4.0,12,-147.0,-155.0,32183.37,32183.37
2243829,100012,1.0,3,-1581.0,-1583.0,3012.075,3012.075
2480304,100012,3.0,9,-237.0,-263.0,5242.86,5242.86
2164190,100012,2.0,13,-442.0,-455.0,11057.535,11057.535
2480304,100012,3.0,7,-297.0,-327.0,5242.86,5242.86
2480304,100012,3.0,11,-177.0,-247.0,5242.86,5242.86
2243829,100012,1.0,8,-1431.0,-1448.0,3012.075,3012.075
2164190,100012,2.0,4,-712.0,-773.0,11057.535,11057.535
2164190,100012,2.0,15,-382.0,-399.0,11057.535,11057.535
2243829,100012,1.0,7,-1461.0,-1462.0,3012.075,3012.075
2164190,100012,2.0,10,-532.0,-539.0,11057.535,11057.535
2164190,100012,2.0,22,-172.0,-167.0,11057.535,883.485
2480304,100012,3.0,10,-207.0,-247.0,5242.86,5242.86
2164190,100012,2.0,20,-232.0,-263.0,11057.535,11057.535
2164190,100012,2.0,12,-472.0,-467.0,11057.535,11057.535
2480304,100012,3.0,6,-327.0,-367.0,5242.86,5242.86
2243829,100012,2.0,9,-1401.0,-1407.0,10660.095,10660.095
2480304,100012,3.0,4,-387.0,-428.0,5242.86,5242.86
2243829,100012,1.0,6,-1491.0,-1489.0,3012.075,2025.0
2164190,100012,2.0,22,-172.0,-208.0,11057.535,10174.05
2164190,100012,2.0,19,-262.0,-307.0,11057.535,11057.535
2243829,100012,1.0,6,-1491.0,-1522.0,3012.075,5.85
