SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2119973,100007,-77,10.0,10.0,Active,0,0
2462742,100007,-55,12.0,9.0,Active,0,0
2119973,100007,-69,10.0,2.0,Active,0,0
2001242,100007,-20,17.0,9.0,Active,0,0
2001242,100007,-15,17.0,4.0,Active,0,0
1692033,100007,-9,24.0,21.0,Active,0,0
1940724,100007,-30,12.0,6.0,Active,0,0
1940724,100007,-24,12.0,0.0,Completed,0,0
1940724,100007,-32,12.0,8.0,Active,0,0
2462742,100007,-58,12.0,12.0,Active,0,0
2462742,100007,-57,12.0,11.0,Active,0,0
1692033,100007,-3,24.0,15.0,Active,0,0
2462742,100007,-54,12.0,8.0,Active,0,0
2119973,100007,-74,10.0,7.0,Active,0,0
2001242,100007,-12,17.0,1.0,Active,0,0
2119973,100007,-68,10.0,1.0,Active,0,0
2462742,100007,-48,12.0,2.0,Active,0,0
2001242,100007,-13,17.0,2.0,Active,0,0
1692033,100007,-11,24.0,23.0,Active,0,0
2119973,100007,-70,10.0,3.0,Active,0,0
2001242,100007,-22,17.0,11.0,Active,0,0
1692033,100007,-1,24.0,13.0,Active,0,0
1940724,100007,-29,12.0,5.0,Active,0,0
2119973,100007,-73,10.0,6.0,Active,0,0
1940724,100007,-27,12.0,3.0,Active,0,0
2462742,100007,-51,12.0,5.0,Active,0,0
2462742,100007,-52,12.0,6.0,Active,0,0
2613879,100008,-18,30.0,27.0,Active,0,0
1907290,100008,-66,10.0,0.0,Active,45,0
2613879,100008,-15,30.0,24.0,Active,0,0
1907290,100008,-65,10.0,0.0,Active,76,0
1907290,100008,-48,10.0,0.0,Active,594,0
1907290,100008,-70,10.0,3.0,Active,0,0
2613879,100008,-13,8.0,0.0,Completed,0,0
2218188,100008,-9,10.0,6.0,Active,0,0
1907290,100008,-76,10.0,9.0,Active,0,0
1907290,100008,-61,10.0,0.0,Active,198,0
1907290,100008,-62,10.0,0.0,Active,167,0
1907290,100008,-58,10.0,0.0,Active,290,0
1907290,100008,-77,10.0,10.0,Active,0,0
1907290,100008,-69,10.0,2.0,Active,0,0
2218188,100008,-11,10.0,9.0,Active,0,0
1907290,100008,-59,10.0,0.0,Active,259,0
1907290,100008,-60,10.0,0.0,Active,229,0
2218188,100008,-4,10.0,1.0,Active,0,0
1186888,100008,-81,6.0,4.0,Active,0,0
2613879,100008,-17,30.0,26.0,Active,0,0
2613879,100008,-21,30.0,30.0,Active,0,0
2218188,100008,-6,10.0,3.0,Active,0,0
2218188,100008,-10,10.0,7.0,Active,0,0
1186888,100008,-80,6.0,3.0,Active,0,0
1907290,100008,-64,10.0,0.0,Active,106,0
1907290,100008,-63,10.0,0.0,Active,137,0
1186888,100008,-79,6.0,2.0,Active,0,0
1907290,100008,-72,10.0,5.0,Active,0,0
2218188,100008,-8,10.0,5.0,Active,0,0
2218188,100008,-5,10.0,2.0,Active,0,0
1907290,100008,-45,10.0,0.0,Active,685,0
1907290,100008,-27,10.0,0.0,Active,1233,0
1907290,100008,-39,10.0,0.0,Active,867,0
1907290,100008,-35,10.0,0.0,Active,989,0
1907290,100008,-46,10.0,0.0,Active,655,0
2613879,100008,-16,30.0,25.0,Active,0,0
1907290,100008,-57,10.0,0.0,Active,320,0
1907290,100008,-33,10.0,0.0,Active,1050,0
1907290,100008,-31,10.0,0.0,Active,1112,0
2613879,100008,-19,30.0,28.0,Active,0,0
1907290,100008,-71,10.0,4.0,Active,0,0
1907290,100008,-55,10.0,0.0,Active,382,0
1907290,100008,-52,10.0,0.0,Active,471,0
1907290,100008,-56,10.0,0.0,Active,351,0
1907290,100008,-29,10.0,0.0,Active,1172,0
1186888,100008,-82,6.0,5.0,Active,0,0
1907290,100008,-68,10.0,1.0,Active,0,0
1907290,100008,-43,10.0,0.0,Active,747,0
1907290,100008,-23,10.0,0.0,Completed,0,0
1907290,100008,-41,10.0,0.0,Active,806,0
2218188,100008,-2,10.0,0.0,Completed,0,0
2613879,100008,-20,30.0,29.0,Active,0,0
1907290,100008,-24,10.0,0.0,Active,0,0
1907290,100008,-37,10.0,0.0,Active,928,0
1907290,100008,-51,10.0,0.0,Active,502,0
1907290,100008,-54,10.0,0.0,Active,410,0
1907290,100008,-32,10.0,0.0,Active,1081,0
1907290,100008,-36,10.0,0.0,Active,959,0
1907290,100008,-34,10.0,0.0,Active,1020,0
1907290,100008,-38,10.0,0.0,Active,897,0
1907290,100008,-49,10.0,0.0,Active,563,0
1907290,100008,-50,10.0,0.0,Active,532,0
1907290,100008,-28,10.0,0.0,Active,1202,0
1907290,100008,-44,10.0,0.0,Active,716,0
1907290,100008,-73,10.0,6.0,Active,0,0
2218188,100008,-3,10.0,0.0,Active,0,0
1907290,100008,-53,10.0,0.0,Active,441,0
1907290,100008,-42,10.0,0.0,Active,775,0
1186888,100008,-84,6.0,6.0,Signed,0,0
1907290,100008,-47,10.0,0.0,Active,624,0
1907290,100008,-30,10.0,0.0,Active,1141,0
1907290,100008,-25,10.0,0.0,Active,1294,0
1907290,100008,-40,10.0,0.0,Active,836,0
1186888,100008,-78,6.0,1.0,Active,0,0
1907290,100008,-74,10.0,7.0,Active,0,0
2218188,100008,-7,10.0,4.0,Active,0,0
1907290,100008,-26,10.0,0.0,Active,1263,0
1186888,100008,-77,6.0,0.0,Completed,0,0
1907290,100008,-75,10.0,8.0,Active,0,0
1907290,100008,-67,10.0,0.0,Active,17,0
2613879,100008,-14,30.0,23.0,Active,0,0
1186888,100008,-83,6.0,6.0,Active,0,0
2218188,100008,-12,10.0,10.0,Active,0,0
1413109,100009,-14,12.0,12.0,Active,0,0
1193310,100009,-44,6.0,1.0,Active,0,0
1413109,100009,-13,12.0,11.0,Active,0,0
2797899,100009,-1,10.0,9.0,Active,0,0
1112703,100009,-50,10.0,9.0,Active,0,0
2007057,100009,-9,6.0,5.0,Active,0,0
1413109,100009,-4,12.0,1.0,Active,0,0
1413109,100009,-7,12.0,5.0,Active,0,0
2007057,100009,-8,6.0,4.0,Active,0,0
1112703,100009,-49,10.0,8.0,Active,0,0
1112703,100009,-41,10.0,0.0,Completed,0,0
2227125,100009,-4,6.0,0.0,Completed,0,0
2421381,100009,-26,6.0,5.0,Active,0,0
1112703,100009,-47,10.0,6.0,Active,0,0
1413109,100009,-10,12.0,8.0,Active,0,0
1413109,100009,-5,12.0,2.0,Active,0,0
2227125,100009,-9,6.0,5.0,Active,0,0
2007057,100009,-10,6.0,6.0,Active,0,0
2227125,100009,-10,6.0,6.0,Active,0,0
1413109,100009,-9,12.0,6.0,Active,0,0
1413109,100009,-6,12.0,4.0,Active,0,0
1413109,100009,-12,12.0,10.0,Active,0,0
2421381,100009,-21,6.0,0.0,Completed,0,0
2007057,100009,-4,6.0,0.0,Completed,0,0
1413109,100009,-2,12.0,0.0,Completed,0,0
1112703,100009,-45,10.0,4.0,Active,0,0
2007057,100009,-7,6.0,3.0,Active,0,0
1112703,100009,-46,10.0,5.0,Active,0,0
1193310,100009,-46,6.0,3.0,Active,0,0
1413109,100009,-11,12.0,9.0,Active,0,0
1193310,100009,-47,6.0,4.0,Active,0,0
1193310,100009,-49,6.0,6.0,Active,0,0
2421381,100009,-27,6.0,6.0,Active,0,0
2227125,100009,-5,6.0,1.0,Active,0,0
1413109,100009,-8,12.0,6.0,Active,0,0
2421381,100009,-22,6.0,1.0,Active,0,0
1193310,100009,-45,6.0,2.0,Active,0,0
2421381,100009,-24,6.0,3.0,Active,0,0
2421381,100009,-25,6.0,4.0,Active,0,0
2007057,100009,-5,6.0,1.0,Active,0,0
2421381,100009,-23,6.0,2.0,Active,0,0
2227125,100009,-8,6.0,4.0,Active,0,0
2797899,100009,-2,10.0,10.0,Active,0,0
1413109,100009,-3,12.0,0.0,Active,0,0
1112703,100009,-48,10.0,7.0,Active,0,0
2007057,100009,-6,6.0,2.0,Active,0,0
2227125,100009,-6,6.0,2.0,Active,0,0
1112703,100009,-42,10.0,1.0,Active,0,0
1112703,100009,-44,10.0,3.0,Active,0,0
2227125,100009,-7,6.0,3.0,Active,0,0
1112703,100009,-51,10.0,10.0,Active,0,0
1112703,100009,-43,10.0,2.0,Active,0,0
1193310,100009,-43,6.0,0.0,Completed,0,0
1193310,100009,-48,6.0,5.0,Active,0,0
2349489,100010,-34,10.0,9.0,Active,0,0
2349489,100010,-26,10.0,1.0,Active,0,0
2349489,100010,-32,10.0,7.0,Active,0,0
2349489,100010,-33,10.0,8.0,Active,0,0
2349489,100010,-28,10.0,3.0,Active,0,0
2349489,100010,-35,10.0,10.0,Active,0,0
2349489,100010,-27,10.0,2.0,Active,0,0
2349489,100010,-25,10.0,0.0,Completed,0,0
2349489,100010,-29,10.0,4.0,Active,0,0
2349489,100010,-31,10.0,6.0,Active,0,0
2349489,100010,-30,10.0,5.0,Active,0,0
1430602,100011,-48,12.0,0.0,Active,710,0
1430602,100011,-63,12.0,0.0,Active,253,0
2794143,100011,-39,30.0,30.0,Active,0,0
1430602,100011,-83,12.0,12.0,Active,0,0
1430602,100011,-70,12.0,0.0,Active,41,0
1430602,100011,-41,12.0,0.0,Active,922,0
1430602,100011,-47,12.0,0.0,Active,740,0
2794143,100011,-13,30.0,3.0,Active,0,0
2794143,100011,-19,30.0,9.0,Active,0,0
1430602,100011,-54,12.0,0.0,Active,526,0
2794143,100011,-25,30.0,15.0,Active,0,0
2794143,100011,-35,30.0,26.0,Active,0,0
2794143,100011,-21,30.0,11.0,Active,0,0
2794143,100011,-14,30.0,4.0,Active,0,0
2794143,100011,-24,30.0,14.0,Active,0,0
2794143,100011,-15,30.0,5.0,Active,0,0
1430602,100011,-55,12.0,0.0,Active,496,0
2794143,100011,-16,30.0,6.0,Active,0,0
1430602,100011,-64,12.0,0.0,Active,222,0
2794143,100011,-33,30.0,24.0,Active,0,0
1430602,100011,-45,12.0,0.0,Active,802,0
1430602,100011,-65,12.0,0.0,Active,192,0
1430602,100011,-50,12.0,0.0,Active,649,0
2794143,100011,-30,30.0,21.0,Active,0,0
2794143,100011,-10,30.0,0.0,Completed,0,0
2794143,100011,-22,30.0,12.0,Active,0,0
1430602,100011,-43,12.0,0.0,Active,861,0
2794143,100011,-12,30.0,2.0,Active,0,0
1430602,100011,-49,12.0,0.0,Active,679,0
1430602,100011,-61,12.0,0.0,Active,314,0
1430602,100011,-69,12.0,0.0,Active,72,0
2794143,100011,-38,30.0,29.0,Active,0,0
1430602,100011,-74,12.0,3.0,Active,9,9
2794143,100011,-26,30.0,16.0,Active,0,0
1430602,100011,-80,12.0,9.0,Active,0,0
1430602,100011,-68,12.0,0.0,Active,100,0
1430602,100011,-72,12.0,1.0,Active,0,0
1430602,100011,-57,12.0,0.0,Active,437,0
2794143,100011,-23,30.0,13.0,Active,0,0
1430602,100011,-67,12.0,0.0,Active,131,0
1430602,100011,-79,12.0,8.0,Active,0,0
1430602,100011,-53,12.0,0.0,Active,557,0
1430602,100011,-58,12.0,0.0,Active,406,0
1430602,100011,-82,12.0,11.0,Active,0,0
2794143,100011,-11,30.0,1.0,Active,0,0
1430602,100011,-81,12.0,10.0,Active,0,0
1430602,100011,-73,12.0,2.0,Active,9,9
1430602,100011,-77,12.0,6.0,Active,0,0
1430602,100011,-60,12.0,0.0,Active,345,0
1430602,100011,-39,11.0,0.0,Completed,0,0
1430602,100011,-40,12.0,0.0,Active,952,0
2794143,100011,-20,30.0,10.0,Active,0,0
2794143,100011,-17,30.0,7.0,Active,0,0
1430602,100011,-78,12.0,7.0,Active,0,0
2794143,100011,-34,30.0,25.0,Active,0,0
2794143,100011,-28,30.0,19.0,Active,0,0
1430602,100011,-76,12.0,5.0,Active,0,0
1430602,100011,-71,12.0,0.0,Active,10,0
2794143,100011,-27,30.0,17.0,Active,0,0
2794143,100011,-37,30.0,28.0,Active,0,0
1430602,100011,-59,12.0,0.0,Active,375,0
2794143,100011,-31,30.0,22.0,Active,0,0
1430602,100011,-75,12.0,4.0,Active,8,8
1430602,100011,-46,12.0,0.0,Active,771,0
2794143,100011,-32,30.0,23.0,Active,0,0
1430602,100011,-51,12.0,0.0,Active,618,0
1430602,100011,-66,12.0,0.0,Active,161,0
1430602,100011,-62,12.0,0.0,Active,284,0
2794143,100011,-29,30.0,20.0,Active,0,0
2794143,100011,-36,30.0,27.0,Active,0,0
2794143,100011,-18,30.0,8.0,Active,0,0
1430602,100011,-56,12.0,0.0,Active,465,0
1430602,100011,-44,12.0,0.0,Active,830,0
1430602,100011,-42,12.0,0.0,Active,891,0
1430602,100011,-52,12.0,0.0,Active,587,0
2164190,100012,-20,24.0,16.0,Active,0,0
2480304,100012,-12,18.0,13.0,Active,0,0
2164190,100012,-23,24.0,19.0,Active,0,0
2164190,100012,-18,24.0,14.0,Active,0,0
2480304,100012,-11,18.0,12.0,Active,0,0
2243829,100012,-53,9.0,7.0,Active,0,0
2480304,100012,-9,18.0,10.0,Active,0,0
2164190,100012,-5,23.0,0.0,Completed,0,0
2480304,100012,-10,18.0,11.0,Active,0,0
2243829,100012,-52,9.0,6.0,Active,0,0
2164190,100012,-19,24.0,15.0,Active,0,0
2164190,100012,-11,24.0,7.0,Active,0,0
2164190,100012,-21,24.0,17.0,Active,0,0
2164190,100012,-15,24.0,11.0,Active,0,0
2243829,100012,-49,9.0,3.0,Active,0,0
2480304,100012,-16,18.0,17.0,Active,0,0
2164190,100012,-10,24.0,6.0,Active,0,0
2243829,100012,-54,9.0,8.0,Active,0,0
2480304,100012,-15,18.0,16.0,Active,0,0
2243829,100012,-51,9.0,5.0,Active,0,0
2480304,100012,-6,18.0,7.0,Active,0,0
2243829,100012,-46,9.0,0.0,Completed,0,0
2480304,100012,-7,18.0,8.0,Active,0,0
2164190,100012,-6,24.0,2.0,Active,0,0
2164190,100012,-26,24.0,22.0,Active,0,0
2164190,100012,-12,24.0,8.0,Active,0,0
2164190,100012,-17,24.0,13.0,Active,0,0
2480304,100012,-5,12.0,0.0,Completed,0,0
2164190,100012,-7,24.0,3.0,Active,0,0
2243829,100012,-47,12.0,1.0,Active,0,0
2164190,100012,-8,24.0,4.0,Active,0,0
2480304,100012,-14,18.0,15.0,Active,0,0
2480304,100012,-8,18.0,9.0,Active,0,0
2164190,100012,-24,24.0,20.0,Active,0,0
2243829,100012,-48,12.0,2.0,Active,0,0
2164190,100012,-13,24.0,9.0,Active,0,0
2164190,100012,-22,24.0,18.0,Active,0,0
2164190,100012,-9,24.0,5.0,Active,0,0
2164190,100012,-25,24.0,21.0,Active,0,0
2243829,100012,-50,9.0,4.0,Active,0,0
2164190,100012,-14,24.0,10.0,Active,0,0
2243829,100012,-55,9.0,9.0,Active,0,0
2164190,100012,-16,24.0,12.0,Active,0,0
2164190,100012,-27,24.0,23.0,Active,0,0
2480304,100012,-13,18.0,14.0,Active,0,0
2480304,100012,-17,18.0,18.0,Active,0,0
1594297,100013,-15,36.0,23.0,Active,0,0
1594297,100013,-21,36.0,29.0,Active,0,0
1108870,100013,-4,6.0,1.0,Active,16,0
1865796,100013,-64,9.0,8.0,Active,0,0
1594297,100013,-28,36.0,36.0,Active,0,0
1865796,100013,-61,9.0,5.0,Active,0,0
1594297,100013,-12,36.0,20.0,Active,0,0
1594297,100013,-26,36.0,34.0,Active,0,0
1594297,100013,-20,36.0,28.0,Active,0,0
1108870,100013,-9,6.0,6.0,Active,0,0
1594297,100013,-25,36.0,33.0,Active,0,0
1594297,100013,-27,36.0,35.0,Active,0,0
1594297,100013,-22,36.0,30.0,Active,0,0
1865796,100013,-60,9.0,4.0,Active,0,0
1865796,100013,-57,9.0,1.0,Active,0,0
1108870,100013,-6,6.0,3.0,Active,0,0
1108870,100013,-3,6.0,0.0,Completed,0,0
1865796,100013,-59,9.0,3.0,Active,0,0
1594297,100013,-23,36.0,31.0,Active,0,0
1594297,100013,-11,17.0,0.0,Completed,0,0
1865796,100013,-58,9.0,2.0,Active,0,0
1594297,100013,-16,36.0,24.0,Active,0,0
1594297,100013,-19,36.0,27.0,Active,0,0
1108870,100013,-7,6.0,4.0,Active,0,0
1865796,100013,-63,9.0,7.0,Active,0,0
1865796,100013,-65,9.0,9.0,Active,0,0
1594297,100013,-24,36.0,32.0,Active,0,0
1594297,100013,-18,36.0,26.0,Active,0,0
1594297,100013,-17,36.0,25.0,Active,0,0
1865796,100013,-62,9.0,6.0,Active,0,0
1865796,100013,-56,9.0,0.0,Completed,0,0
1865796,100013,-66,9.0,9.0,Signed,0,0
1108870,100013,-5,6.0,2.0,Active,18,0
1594297,100013,-14,36.0,22.0,Active,0,0
1594297,100013,-13,36.0,21.0,Active,0,0
1108870,100013,-8,6.0,5.0,Active,0,0
1461079,100014,-16,12.0,0.0,Completed,0,0
1461079,100014,-23,12.0,7.0,Active,0,0
1461079,100014,-26,12.0,10.0,Active,0,0
1461079,100014,-20,12.0,4.0,Active,0,0
1461079,100014,-25,12.0,9.0,Active,0,0
1461079,100014,-28,12.0,12.0,Active,0,0
2006578,100014,-2,6.0,5.0,Active,0,0
1461079,100014,-19,12.0,3.0,Active,0,0
2006578,100014,-1,6.0,4.0,Active,0,0
1461079,100014,-24,12.0,8.0,Active,0,0
1461079,100014,-22,12.0,6.0,Active,0,0
1461079,100014,-21,12.0,5.0,Active,0,0
1461079,100014,-27,12.0,11.0,Active,0,0
2006578,100014,-3,6.0,6.0,Active,0,0
1461079,100014,-18,12.0,2.0,Active,0,0
1461079,100014,-17,12.0,1.0,Active,0,0
1027737,100015,-70,10.0,1.0,Active,0,0
1027737,100015,-78,10.0,9.0,Active,0,0
1027737,100015,-71,10.0,2.0,Active,13,13
1027737,100015,-79,10.0,10.0,Active,0,0
1027737,100015,-74,10.0,5.0,Active,0,0
1027737,100015,-76,10.0,7.0,Active,0,0
1027737,100015,-72,10.0,3.0,Active,0,0
1027737,100015,-73,10.0,4.0,Active,0,0
1027737,100015,-77,10.0,8.0,Active,0,0
1027737,100015,-69,10.0,0.0,Completed,0,0
1027737,100015,-75,10.0,6.0,Active,0,0
2824473,100016,-37,24.0,17.0,Active,0,0
2824473,100016,-31,24.0,11.0,Active,0,0
2824473,100016,-25,24.0,5.0,Active,0,0
1251047,100016,-33,24.0,22.0,Active,0,0
1515914,100016,-71,12.0,5.0,Active,0,0
2824473,100016,-28,24.0,8.0,Active,0,0
2824473,100016,-33,24.0,13.0,Active,0,0
1251047,100016,-24,24.0,13.0,Active,0,0
1251047,100016,-35,24.0,24.0,Active,0,0
2824473,100016,-32,24.0,12.0,Active,0,0
2824473,100016,-40,24.0,20.0,Active,0,0
1251047,100016,-22,24.0,11.0,Active,0,0
2824473,100016,-44,24.0,24.0,Active,0,0
1515914,100016,-75,12.0,9.0,Active,0,0
2824473,100016,-20,24.0,0.0,Completed,0,0
1515914,100016,-70,12.0,4.0,Active,0,0
1251047,100016,-23,24.0,12.0,Active,0,0
2824473,100016,-23,24.0,3.0,Active,0,0
2824473,100016,-22,24.0,2.0,Active,0,0
2824473,100016,-24,24.0,4.0,Active,0,0
2824473,100016,-21,24.0,1.0,Active,0,0
2824473,100016,-41,24.0,21.0,Active,0,0
1515914,100016,-73,12.0,7.0,Active,0,0
2824473,100016,-36,24.0,16.0,Active,0,0
2824473,100016,-39,24.0,19.0,Active,0,0
1251047,100016,-26,24.0,15.0,Active,0,0
1251047,100016,-20,24.0,9.0,Active,0,0
1251047,100016,-19,24.0,8.0,Active,0,0
1251047,100016,-30,24.0,19.0,Active,0,0
1515914,100016,-78,12.0,12.0,Active,0,0
2824473,100016,-30,24.0,10.0,Active,0,0
1251047,100016,-28,24.0,17.0,Active,0,0
1251047,100016,-29,24.0,18.0,Active,0,0
1251047,100016,-18,17.0,0.0,Completed,0,0
1251047,100016,-31,24.0,20.0,Active,0,0
1515914,100016,-77,12.0,11.0,Active,0,0
1251047,100016,-32,24.0,21.0,Active,0,0
2824473,100016,-42,24.0,22.0,Active,0,0
2824473,100016,-35,24.0,15.0,Active,0,0
1515914,100016,-76,12.0,10.0,Active,0,0
1251047,100016,-25,24.0,14.0,Active,0,0
1515914,100016,-69,12.0,3.0,Active,0,0
1515914,100016,-67,12.0,1.0,Active,0,0
1251047,100016,-34,24.0,23.0,Active,0,0
1515914,100016,-68,12.0,2.0,Active,0,0
1515914,100016,-74,12.0,8.0,Active,0,0
2824473,100016,-29,24.0,9.0,Active,0,0
2824473,100016,-38,24.0,18.0,Active,0,0
2824473,100016,-34,24.0,14.0,Active,0,0
1251047,100016,-21,24.0,10.0,Active,0,0
2824473,100016,-43,24.0,23.0,Active,0,0
2824473,100016,-27,24.0,7.0,Active,0,0
1515914,100016,-72,12.0,6.0,Active,0,0
1251047,100016,-27,24.0,16.0,Active,0,0
2824473,100016,-26,24.0,6.0,Active,0,0
1562063,100017,-7,24.0,11.0,Active,0,0
1562063,100017,-8,24.0,12.0,Active,0,0
2769249,100017,-73,10.0,3.0,Active,0,0
1562063,100017,-19,24.0,23.0,Active,0,0
1562063,100017,-15,24.0,19.0,Active,0,0
2769249,100017,-79,10.0,9.0,Active,0,0
1562063,100017,-10,24.0,14.0,Active,0,0
1562063,100017,-13,24.0,17.0,Active,0,0
2769249,100017,-71,10.0,1.0,Active,0,0
